training
"X      OX    O  ;X;9;3;O"
"                ;X;12;6;X"
"   X  X   O O   ;X;1;2;X"
"OO  OXX      X  ;X;3;2;X"
"X X   XO O XO  O;X;10;0;X"
"           O    ;X;1;7;X"
"         X    O ;X;10;4;X"
"                ;X;2;6;X"
" O          X  O;X;9;3;X"
" X       OO     ;X;14;4;O"
"OXO    O OX XX  ;X;14;0;X"
"        O XX  O ;X;3;4;X"
" O    X   X OO X;X;7;2;X"
"OX     O    OXXO;X;11;1;X"
"O   OXO X  O X X;X;14;0;X"
"       XO   XOOX;X;11;0;X"
"X   O O X OX    ;X;9;1;O"
"                ;X;4;8;X"
"  O      O  X   ;X;6;5;X"
"     OX   OX O  ;X;8;2;O"
"OO  XX  O   X   ;X;15;1;O"
"         O      ;X;12;5;X"
"            O   ;X;13;5;X"
"  O   XX      O ;X;5;0;X"
"    OOX   X O   ;X;13;3;X"
"       O    O  X;X;4;4;O"
"  O OXO   X OX  ;X;11;1;X"
"       O      X ;X;6;6;X"
"       O     X O;X;1;4;O"
"XO    O  OOX XX ;X;12;0;X"
"          X    O;X;5;4;X"
"O OXO  O   X  X ;X;15;1;X"
" XX  O   O   O  ;X;8;0;O"
"                ;X;11;6;X"
"XO            O ;X;3;3;X"
"O    X          ;X;10;2;X"
"  O             ;X;7;4;O"
" O    X         ;X;7;4;X"
"     X   O O    ;X;0;1;X"
"OO   O  X X     ;X;12;1;X"
"                ;X;4;6;X"
"                ;X;8;8;X"
"          O  X  ;X;12;4;X"
" OXOX X O   O   ;X;7;1;X"
"    XO  O O   X ;X;15;2;O"
"                ;X;15;7;O"
"           O O X;X;1;5;X"
"  O    X     OOX;X;10;1;X"
"   X OO         ;X;13;2;O"
" XO O      OOXXX;X;7;0;X"
" O  O  O   XOX X;X;5;1;X"
"          O     ;X;6;6;O"
"                ;X;3;8;X"
" X   OX   OO X O;X;12;0;O"
"        X  O O  ;X;2;1;X"
"X   X   O  O    ;X;2;4;X"
"   OO  O X   X  ;X;8;3;X"
"X   OO  X XO    ;X;6;2;X"
"         OXO    ;X;14;5;X"
"O  X   X O  X O ;X;11;0;X"
"                ;X;8;8;X"
"              XO;X;5;6;X"
"  O O   O    X X;X;5;1;X"
"        OXO     ;X;3;5;X"
"                ;X;8;7;O"
"  O   O X XO X  ;X;7;0;X"
"              XO;X;5;5;O"
"  O OX     X  O ;X;15;2;O"
"X   OO     X    ;X;15;3;O"
"X   X   O X OO  ;X;5;0;X"
"    XO  X     O ;X;0;0;X"
"           O X  ;X;10;5;O"
"  OO      OX X X;X;1;2;X"
" O XOOXX        ;X;13;2;X"
"    O           ;X;6;3;X"
"     X   O      ;X;4;5;O"
"    OX   X OO  X;X;1;0;X"
"                ;X;15;6;X"
"   O      X  XO ;X;7;0;X"
" O OX  X  X OX O;X;2;0;X"
"                ;X;2;4;X"
"           O    ;X;15;5;X"
" OX  X  XOO  X O;X;3;0;X"
"         O      ;X;12;6;O"
"X O XX   OOO    ;X;3;0;O"
"          O     ;X;1;3;X"
"      XO  X OO  ;X;4;1;X"
" XO  XO         ;X;3;2;X"
"     X O   O    ;X;9;4;O"
"X        O      ;X;10;5;O"
"X       O       ;X;7;4;X"
" O          X   ;X;14;2;X"
"              O ;X;1;7;X"
" X        O     ;X;5;5;O"
"  X    X    O O ;X;8;3;O"
"   OX  X  O O   ;X;6;1;X"
"               O;X;0;6;O"
" O    OOX   X   ;X;3;2;O"
"                ;X;4;8;X"
"O            OX ;X;2;5;X"
"X       XOO     ;X;4;0;X"
"   O   OXOXX    ;X;14;2;X"
"                ;X;6;4;X"
"  OX       O    ;X;8;5;X"
"   X     X    OO;X;2;4;X"
" O  X           ;X;8;4;X"
"                ;X;9;6;X"
"    O X   O XO  ;X;8;2;O"
"                ;X;0;4;X"
"OX  OXX      OXO;X;10;0;X"
"  XXX O  OO   O ;X;13;0;O"
" OO  O XO  XX   ;X;0;0;O"
"   O      X     ;X;13;4;X"
"    XOOX   O    ;X;3;3;X"
"  X   X O      O;X;5;2;X"
"O  X       O    ;X;9;5;X"
"   O           X;X;5;5;O"
"                ;X;11;5;O"
" XO O   O      X;X;5;2;O"
"                ;X;11;7;O"
"             O  ;X;10;7;X"
"             O  ;X;2;3;X"
"        XO  X O ;X;10;3;O"
"  O   O  O    XX;X;5;2;O"
"                ;X;11;8;X"
"                ;X;14;7;O"
"OO     XX       ;X;11;4;X"
"       O  O X   ;X;2;4;O"
"X  XO O O   O X ;X;1;0;O"
" X O X X XO OO  ;X;4;0;X"
"                ;X;0;6;X"
"       X    OO  ;X;4;2;O"
"     XX    O   O;X;9;4;X"
"OO      X  OOXXX;X;7;0;X"
"              O ;X;4;7;X"
"         OO    X;X;7;4;O"
"X      OX  O    ;X;14;3;O"
"O               ;X;8;5;X"
"       O        ;X;11;4;O"
"  X OXO     O   ;X;15;1;X"
"       XO       ;X;11;4;X"
"     X O  X    O;X;3;4;X"
"      X       O ;X;9;2;X"
"    O     X  O  ;X;12;5;X"
"  O  X   XX OO  ;X;7;2;X"
"      O  X   XO ;X;2;3;O"
"            O   ;X;8;7;X"
"   X   O   O    ;X;9;4;O"
"  OOXO X    X   ;X;6;1;O"
"     XXX  OO   O;X;14;0;X"
"                ;X;10;4;X"
"           O    ;X;8;3;X"
"OX              ;X;5;2;X"
"                ;X;2;7;O"
"O    O   X     X;X;12;2;X"
"               O;X;7;7;X"
" O    X  X  OOX ;X;10;0;X"
" X   O    XO OX ;X;12;1;O"
"          O     ;X;15;6;O"
"OOO O  X   X  X ;X;13;0;O"
"X O             ;X;4;3;O"
"   O O    X  X  ;X;0;4;X"
"          X  O  ;X;3;5;O"
"     O        X ;X;15;6;X"
"O  O  XXX  O O X;X;5;0;X"
"  O     X       ;X;3;3;O"
"       X  O     ;X;5;3;O"
"              O ;X;6;7;X"
"     O  O     X ;X;10;3;X"
"O       X O  OX ;X;4;3;X"
"XXO  X   XO  OO ;X;11;0;X"
"X      X O  O   ;X;15;3;O"
"       OXO      ;X;3;4;O"
" X  X XO  O O   ;X;3;1;O"
"O      X   OX   ;X;4;4;X"
"    OO XXOX     ;X;6;1;O"
" X  X  O O O    ;X;6;2;O"
" OX        O  X ;X;12;4;X"
"                ;X;12;8;X"
"XX O   O O  X   ;X;6;1;O"
"O X             ;X;13;6;X"
"       O        ;X;4;4;O"
"OO     OXX   X  ;X;10;0;X"
"    XX       OOO;X;9;0;O"
"O O      O   XX ;X;8;3;X"
"   O      X     ;X;4;5;O"
"     O          ;X;0;6;O"
"   O  O     X   ;X;8;3;X"
"                ;X;3;8;X"
"XOO O    XO X X ;X;13;0;X"
"      X   OOO X ;X;1;3;X"
"                ;X;2;4;X"
"O   OX X X   O  ;X;11;2;X"
"   O            ;X;5;7;X"
"O   O     X     ;X;15;1;X"
"      O    O X  ;X;14;1;X"
"                ;X;14;4;X"
"X OO  XO  X  O  ;X;12;1;X"
"         O   X  ;X;3;4;X"
" O    XXO X  XOO;X;3;0;X"
" O X   X     OO ;X;4;1;X"
"  OX            ;X;11;6;X"
"     XO      O  ;X;4;3;X"
"O   OX          ;X;9;1;X"
"                ;X;1;8;X"
" X      OO X  O ;X;15;3;X"
"          O   X ;X;12;2;X"
"    O          X;X;0;4;X"
" X  O   O     X ;X;7;4;X"
"         O      ;X;0;6;O"
"                ;X;4;8;X"
"    OX  O  X    ;X;13;4;X"
"      XOO       ;X;5;5;X"
" OO  X          ;X;7;4;O"
"   X     O    O ;X;10;2;O"
"O          X    ;X;3;5;O"
"             O  ;X;15;6;O"
" O             X;X;6;6;X"
"       O        ;X;10;3;X"
"    O  X O    XO;X;10;1;X"
"     O O XO   X ;X;15;1;X"
"      O  X      ;X;2;5;O"
"    O           ;X;13;4;O"
"                ;X;8;4;X"
" O XXO  X   XOO ;X;0;0;X"
" OOX     O X   X;X;12;1;O"
"XO   O O XX     ;X;11;0;X"
" X          XOOO;X;8;0;O"
"X      OO    X  ;X;12;2;X"
"  O             ;X;12;3;X"
"     O     OX X ;X;8;4;X"
"XO OX O   O   XX;X;8;0;X"
"  XXO  OO   X   ;X;11;1;O"
" X O OXOO     XX;X;11;0;X"
"  O  X          ;X;9;2;X"
" X    O         ;X;7;4;X"
" X X    O O O   ;X;13;3;X"
"     XO    O X  ;X;7;1;O"
"         OO OXXX;X;1;0;X"
" X   OO    O  X ;X;0;2;O"
"OXO OO  X X     ;X;13;1;X"
"  O   X       XO;X;12;2;X"
"                ;X;3;5;O"
"   O O  X O   XX;X;4;2;X"
